Pair,Left,Right,BestWindow,PValue,Beta,HalfLife,Z,Conviction,ConvictionBand,Signal,Action,Notes,StationarityP,Stationary,VolRegime,SpreadVol,SuggestedNotional,JohansenTrace,JohansenCrit,JohansenPass,GrowthPhase,PhaseGuidance,SR_Deviation,SR_Signal_Strength,JohansenStrength,NL_Description
IEF-SLV,IEF,SLV,252,0.005306329516721428,0.49677181734604176,6.934834018469234,-0.827289199461654,3.744569432940274,Low,HOLD,HOLD,β=0.497; HL=6.9; Z=-0.83; p=0.0053; W=252,0.0010282812277939497,True,Normal,0.4426054871059666,,18.75018386813782,15.4943,True,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.8256329631668788,Inside Band,3.25588386813782,"IEF-SLV spread is inside its ±1s band, HL=6.9d, in a maturity regime, with strong Johansen pass (gap +3.26). Conviction: Low."
DIA-VIXY,DIA,VIXY,252,0.012496470633983908,-1.7776216920263637,5.661212281639286,1.0535090201284039,3.711321218595676,Low,HOLD,HOLD,β=-1.778; HL=5.7; Z=1.05; p=0.0125; W=252,0.0027120912356230946,True,Low,2.836891790813216,,17.858246994111788,15.4943,True,Maturity,"Stick to standard entries, HL stable, clean mean reverts",1.051399890845506,Mild,2.363946994111787,"DIA-VIXY spread is mild stretched at +1.05s, HL=5.7d, in a maturity regime, with strong Johansen pass (gap +2.36). Conviction: Low."
IEF-IWM,IEF,IWM,30,0.03289529248553376,0.11555774059161439,3.101503664069217,-0.8327884937349097,3.3512582835877605,Low,HOLD,HOLD,β=0.116; HL=3.1; Z=-0.83; p=0.0329; W=30,0.010617956686064708,True,Normal,0.30460487158869876,,,,False,Deterioration,"Tight entries, faster exits, entropy high",-0.8187910515636359,Inside Band,,"IEF-IWM spread is inside its ±1s band, HL=3.1d, in a deterioration regime, with weak Johansen evidence. Conviction: Low."
KRE-VIXY,KRE,VIXY,252,0.004043134609535377,-0.4098924389411596,5.510133760258232,-0.6909278378030191,3.200246801387652,Low,HOLD,HOLD,β=-0.410; HL=5.5; Z=-0.69; p=0.0040; W=252,0.0007397014680903235,True,Normal,0.9379111662531118,,17.702732831741876,15.4943,True,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.6895445975010975,Inside Band,2.2084328317418755,"KRE-VIXY spread is inside its ±1s band, HL=5.5d, in a maturity regime, with strong Johansen pass (gap +2.21). Conviction: Low."
IEF-SHY,IEF,SHY,180,0.03727970296661505,2.018865922717297,6.715187174844244,0.30746101297862216,3.148105980018848,Low,HOLD,HOLD,β=2.019; HL=6.7; Z=0.31; p=0.0373; W=180,0.009719551399580027,True,Normal,0.2405082528234735,,14.518384215223083,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",0.3066057651105935,Inside Band,-0.9759157847769178,"IEF-SHY spread is inside its ±1s band, HL=6.7d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
VIXY-XLB,VIXY,XLB,180,0.010689955745997076,-2.6194360483699892,5.042037706196303,-1.9825723750066662,3.0479924038073225,Low,HOLD,HOLD,β=-2.619; HL=5.0; Z=-1.98; p=0.0107; W=180,0.002271994009286242,True,Normal,2.045808394963933,,19.184102772492082,15.4943,True,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-1.9770575593865964,Mild,3.689802772492081,"VIXY-XLB spread is mild stretched at -1.98s, HL=5.0d, in a maturity regime, with strong Johansen pass (gap +3.69). Conviction: Low."
TLT-XLE,TLT,XLE,252,0.015119282444474535,0.19646243967852478,7.965574418333861,0.41860279976216797,3.0039084420763587,Low,HOLD,HOLD,β=0.196; HL=8.0; Z=0.42; p=0.0151; W=252,0.003352338297803586,True,Normal,0.7878478747809494,,32.55515203381364,15.4943,True,Maturity,Default regime,0.4177647552784351,Inside Band,17.06085203381364,"TLT-XLE spread is inside its ±1s band, HL=8.0d, in a maturity regime, with strong Johansen pass (gap +17.06). Conviction: Low."
GLD-IEF,GLD,IEF,252,0.05404310355074218,12.88567491806665,12.117113768768661,0.8617625755002151,2.9658943572077754,Low,HOLD,HOLD,β=12.886; HL=12.1; Z=0.86; p=0.0540; W=252,0.01461279048636461,True,Normal,5.169922413070722,,14.059665926309508,15.4943,False,Reset,"Expect longer holding periods, reversion is slower",0.8600373233683716,Inside Band,-1.4346340736904928,"GLD-IEF spread is inside its ±1s band, HL=12.1d, in a reset regime, with weak Johansen evidence. Conviction: Low."
IEF-XLU,IEF,XLU,90,0.03963279634269591,0.4392027562464154,8.442084428873498,0.347536452325589,2.915663461953451,Low,HOLD,HOLD,β=0.439; HL=8.4; Z=0.35; p=0.0396; W=90,0.008892143408462045,True,Normal,0.3747843896650205,,5.034835303002193,15.4943,False,Reset,"Expect longer holding periods, reversion is slower",0.34560030103607026,Inside Band,-10.459464696997808,"IEF-XLU spread is inside its ±1s band, HL=8.4d, in a reset regime, with weak Johansen evidence. Conviction: Low."
XLF-XLK,XLF,XLK,180,0.0017859037003117792,0.0851904137965889,3.806634621172973,-0.5659673464402181,2.905058966760692,Low,HOLD,HOLD,β=0.085; HL=3.8; Z=-0.57; p=0.0018; W=180,0.00030964970874877733,True,Normal,0.46786439739057567,,19.587541448862623,15.4943,True,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.5643930253198668,Inside Band,4.0932414488626225,"XLF-XLK spread is inside its ±1s band, HL=3.8d, in a maturity regime, with strong Johansen pass (gap +4.09). Conviction: Low."
TLT-XLY,TLT,XLY,90,0.014491739320949987,0.14338315556124118,3.534811498883444,0.22474401559211452,2.8628635732831795,Low,HOLD,HOLD,β=0.143; HL=3.5; Z=0.22; p=0.0145; W=90,0.003344317349718203,True,Normal,0.670933222273908,,9.639913948516657,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",0.22349195005283518,Inside Band,-5.854386051483344,"TLT-XLY spread is inside its ±1s band, HL=3.5d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
TLT-XLU,TLT,XLU,90,0.02407235717724819,0.4629582401295457,6.566827828650473,0.7067393886523916,2.783198565407768,Low,HOLD,HOLD,β=0.463; HL=6.6; Z=0.71; p=0.0241; W=90,0.005086570917009568,True,Normal,0.6430089247282745,,6.582076659698035,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",0.7028020912278008,Inside Band,-8.912223340301967,"TLT-XLU spread is inside its ±1s band, HL=6.6d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
TLT-XHB,TLT,XHB,252,0.047766051310349784,0.13432284112288995,8.966256449220623,0.600677331914625,2.6675199267892826,Low,HOLD,HOLD,β=0.134; HL=9.0; Z=0.60; p=0.0478; W=252,0.012848972904751572,True,Normal,0.6898288623449319,,18.062091633403906,15.4943,True,Reset,"Expect longer holding periods, reversion is slower",0.599474773487399,Inside Band,2.567791633403905,"TLT-XHB spread is inside its ±1s band, HL=9.0d, in a reset regime, with strong Johansen pass (gap +2.57). Conviction: Low."
XLB-XLK,XLB,XLK,180,0.007150615373356842,0.12827320957021354,4.113628672020236,-1.9173120523725147,2.4724242681433215,Low,HOLD,HOLD,β=0.128; HL=4.1; Z=-1.92; p=0.0072; W=180,0.001454762948674891,True,Normal,0.8846671321891718,,17.05327953344659,15.4943,True,Maturity,Default regime,-1.9119787679041802,Mild,1.5589795334465908,"XLB-XLK spread is mild stretched at -1.91s, HL=4.1d, in a maturity regime, with strong Johansen pass (gap +1.56). Conviction: Low."
GLD-SHY,GLD,SHY,252,0.060130179678925914,26.41480748386438,7.513911025596469,1.245339613034611,2.4060901508718415,Low,HOLD,HOLD,β=26.415; HL=7.5; Z=1.25; p=0.0601; W=252,0.01692749198105619,True,Normal,3.4176055882955447,,13.174131763758272,15.4943,False,Maturity,Default regime,1.242846438135469,Mild,-2.320168236241729,"GLD-SHY spread is mild stretched at +1.24s, HL=7.5d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
UUP-XLV,UUP,XLV,90,0.041066905285794035,-0.01901117133178218,3.0710443646607506,0.9959199151957381,2.3742970633428984,Low,HOLD,HOLD,β=-0.019; HL=3.1; Z=1.00; p=0.0411; W=90,0.0110495764219727,True,Normal,0.11787443353506978,,15.362579298071795,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",0.9903715716618141,Inside Band,-0.13172070192820584,"UUP-XLV spread is inside its ±1s band, HL=3.1d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
TLT-XLV,TLT,XLV,252,0.01958337817811364,0.25401170470737977,6.7368488049874315,1.4046679086846992,2.2590731217791333,Low,HOLD,HOLD,β=0.254; HL=6.7; Z=1.40; p=0.0196; W=252,0.0045418701581857795,True,Normal,0.748737840978325,,22.15672114010855,15.4943,True,Maturity,"Stick to standard entries, HL stable, clean mean reverts",1.4018557578987547,Mild,6.662421140108551,"TLT-XLV spread is mild stretched at +1.40s, HL=6.7d, in a maturity regime, with strong Johansen pass (gap +6.66). Conviction: Low."
DIA-IWM,DIA,IWM,180,0.0010681172943269957,1.215342328833626,4.569415621582132,-0.32392594808612324,2.257280840569881,Low,HOLD,HOLD,β=1.215; HL=4.6; Z=-0.32; p=0.0011; W=180,0.00016867653040880456,True,Low,2.3020515064300326,,20.616578937352443,15.4943,True,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.32302490058804884,Inside Band,5.122278937352442,"DIA-IWM spread is inside its ±1s band, HL=4.6d, in a maturity regime, with strong Johansen pass (gap +5.12). Conviction: Low."
UUP-XLB,UUP,XLB,90,0.04419634469729845,-0.023641668198817273,3.108295002753675,0.7709385155717792,2.2317527879546493,Low,HOLD,HOLD,β=-0.024; HL=3.1; Z=0.77; p=0.0442; W=90,0.012061914110731008,True,Normal,0.11734558372152092,,18.93448846127222,15.4943,True,Maturity,"Stick to standard entries, HL stable, clean mean reverts",0.7666435600611397,Inside Band,3.4401884612722196,"UUP-XLB spread is inside its ±1s band, HL=3.1d, in a maturity regime, with strong Johansen pass (gap +3.44). Conviction: Low."
SHY-XLF,SHY,XLF,90,0.06811250608786908,0.3492400113177847,3.2601526212790484,0.805579816004101,2.203713833315912,Low,HOLD,HOLD,β=0.349; HL=3.3; Z=0.81; p=0.0681; W=90,0.020429222833201654,True,Normal,0.16308724505193894,,11.86627542978145,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",0.8010918712457038,Inside Band,-3.6280245702185514,"SHY-XLF spread is inside its ±1s band, HL=3.3d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
SPY-XLF,SPY,XLF,180,0.018031686075814318,16.171114942112645,5.490742686236206,1.2658914988055237,2.1504338098951528,Low,HOLD,HOLD,β=16.171; HL=5.5; Z=1.27; p=0.0180; W=180,0.004136380000494801,True,Normal,5.356764157712991,,20.056597412332476,15.4943,True,Maturity,"Stick to standard entries, HL stable, clean mean reverts",1.262370236076892,Mild,4.562297412332475,"SPY-XLF spread is mild stretched at +1.26s, HL=5.5d, in a maturity regime, with strong Johansen pass (gap +4.56). Conviction: Low."
TLT-XLF,TLT,XLF,252,0.08521587498879585,-0.29677957164071866,9.77458690918849,1.3267174381164424,2.146867897636479,Low,HOLD,HOLD,β=-0.297; HL=9.8; Z=1.33; p=0.0852; W=252,0.025793405470157026,True,Normal,0.7721606717118246,,22.942210265687002,15.4943,True,Reset,"Expect longer holding periods, reversion is slower",1.3240613444851592,Mild,7.4479102656870015,"TLT-XLF spread is mild stretched at +1.32s, HL=9.8d, in a reset regime, with strong Johansen pass (gap +7.45). Conviction: Low."
XLB-XLY,XLB,XLY,180,0.01506347309799573,0.19538674655705932,5.756635005715961,-1.3689564035044766,2.115028821031421,Low,HOLD,HOLD,β=0.195; HL=5.8; Z=-1.37; p=0.0151; W=180,0.0033506526509133904,True,Normal,0.7664017538460101,,13.305553942184586,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-1.3651484506385867,Mild,-2.1887460578154148,"XLB-XLY spread is mild stretched at -1.37s, HL=5.8d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
SLV-TLT,SLV,TLT,90,0.03720631873206532,1.0978139257845505,3.5804665407054745,1.7186318977247887,2.098471044096719,Low,HOLD,HOLD,β=1.098; HL=3.6; Z=1.72; p=0.0372; W=90,0.010063400974139906,True,Normal,0.871165694274914,,14.230354887655214,15.4943,False,Maturity,Default regime,1.7090572722640032,Mild,-1.2639451123447873,"SLV-TLT spread is mild stretched at +1.71s, HL=3.6d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
QQQ-XLF,QQQ,XLF,180,0.008554183218606416,17.834240902717447,4.715563122033265,1.139593274422759,2.0174666230834526,Low,HOLD,HOLD,β=17.834; HL=4.7; Z=1.14; p=0.0086; W=180,0.0017711077615282743,True,Normal,7.369282131235594,,20.790420340330964,15.4943,True,Maturity,"Stick to standard entries, HL stable, clean mean reverts",1.1364233287150813,Mild,5.296120340330964,"QQQ-XLF spread is mild stretched at +1.14s, HL=4.7d, in a maturity regime, with strong Johansen pass (gap +5.30). Conviction: Low."
XLI-XLK,XLI,XLK,180,0.008573022755970409,0.3828254142937847,5.658607505037641,-1.5265999024147927,2.0120148502978505,Low,HOLD,HOLD,β=0.383; HL=5.7; Z=-1.53; p=0.0086; W=180,0.0017558345839500033,True,Normal,1.0147672009382656,,13.494734539322451,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-1.522353441052995,Mild,-1.99956546067755,"XLI-XLK spread is mild stretched at -1.52s, HL=5.7d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
TLT-XLI,TLT,XLI,252,0.06165995721275127,-0.03747224734759813,10.18357790675411,0.980436985226423,2.0063860110602976,Low,HOLD,HOLD,β=-0.037; HL=10.2; Z=0.98; p=0.0617; W=252,0.01738895538872151,True,Normal,0.7462275995264862,,17.043608064455764,15.4943,True,Reset,"Expect longer holding periods, reversion is slower",0.97847414645042,Inside Band,1.5493080644557633,"TLT-XLI spread is inside its ±1s band, HL=10.2d, in a reset regime, with strong Johansen pass (gap +1.55). Conviction: Low."
TLT-XLK,TLT,XLK,252,0.06097501692227627,-0.011875834446189053,10.25707189510187,0.9816996273094015,1.998316958194565,Low,HOLD,HOLD,β=-0.012; HL=10.3; Z=0.98; p=0.0610; W=252,0.01715280491240687,True,Normal,0.7428540311383184,,13.741774381893181,15.4943,False,Reset,"Expect longer holding periods, reversion is slower",0.9797342607188851,Inside Band,-1.7525256181068194,"TLT-XLK spread is inside its ±1s band, HL=10.3d, in a reset regime, with weak Johansen evidence. Conviction: Low."
SHY-SPY,SHY,SPY,90,0.07700610878546645,0.020044618344093254,3.1159520492463546,0.039558773537776634,1.9531951904600773,Low,HOLD,HOLD,β=0.020; HL=3.1; Z=0.04; p=0.0770; W=90,0.02361992012500222,True,Normal,0.1080621709123812,,11.442633999821417,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",0.03933838868351338,Inside Band,-4.051666000178583,"SHY-SPY spread is inside its ±1s band, HL=3.1d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
TLT-UUP,TLT,UUP,252,0.066177468258539,-0.3790798715514483,10.513963213689086,0.6684932513143687,1.9298509291919774,Low,HOLD,HOLD,β=-0.379; HL=10.5; Z=0.67; p=0.0662; W=252,0.018933063655351138,True,Normal,0.7305460210588174,,14.422927680078255,15.4943,False,Reset,"Expect longer holding periods, reversion is slower",0.6671549251445607,Inside Band,-1.0713723199217462,"TLT-UUP spread is inside its ±1s band, HL=10.5d, in a reset regime, with weak Johansen evidence. Conviction: Low."
TLT-XLB,TLT,XLB,252,0.040570372096804204,0.2763232519356446,8.653518596853143,0.7092714767678506,1.8953123988452472,Low,HOLD,HOLD,β=0.276; HL=8.7; Z=0.71; p=0.0406; W=252,0.010588710967506913,True,Normal,0.7410106630307498,,26.821969097155687,15.4943,True,Reset,"Expect longer holding periods, reversion is slower",0.7078515124271628,Inside Band,11.327669097155686,"TLT-XLB spread is inside its ±1s band, HL=8.7d, in a reset regime, with strong Johansen pass (gap +11.33). Conviction: Low."
TLT-VIXY,TLT,VIXY,252,0.052360220359875136,-0.0128171484478726,10.188176316177891,0.6728709501304685,1.8890605807400438,Low,HOLD,HOLD,β=-0.013; HL=10.2; Z=0.67; p=0.0524; W=252,0.014290173716852683,True,Normal,0.7383410403775306,,22.1591501177442,15.4943,True,Reset,"Expect longer holding periods, reversion is slower",0.6715238597900758,Inside Band,6.6648501177442,"TLT-VIXY spread is inside its ±1s band, HL=10.2d, in a reset regime, with strong Johansen pass (gap +6.66). Conviction: Low."
SLV-XLF,SLV,XLF,90,0.05958942634098119,1.609985330466111,3.072651600264645,2.1042495534391135,1.8403284390168082,Low,ENTER_SHORT,HOLD,β=1.610; HL=3.1; Z=2.10; p=0.0596; W=90,0.017845571205372474,True,Normal,0.8743089971808439,,9.932184487831996,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",2.092526623487169,Severe,-5.562115512168004,"SLV-XLF spread is severe stretched at +2.09s, HL=3.1d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
XLI-XLU,XLI,XLU,252,0.03108480234714518,2.1841106939533863,7.090102683177498,-0.5855623021048046,1.8062644369495091,Low,HOLD,HOLD,β=2.184; HL=7.1; Z=-0.59; p=0.0311; W=252,0.0077790556717390325,True,Normal,1.702129043591572,,14.182813424769257,15.4943,False,Maturity,Default regime,-0.5843900040278696,Inside Band,-1.3114865752307434,"XLI-XLU spread is inside its ±1s band, HL=7.1d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
XLB-XLF,XLB,XLF,180,0.01033496876601504,1.4812147441472088,3.7906822819498864,-2.0342429377379774,1.803498899887445,Low,ENTER_LONG,ENTER_LONG,β=1.481; HL=3.8; Z=-2.03; p=0.0103; W=180; AdaptiveEntry: Conv=2.50,0.00223336945225716,True,Normal,0.6823489771506034,,18.04359037755537,15.4943,True,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-2.0285843928750107,Severe,2.5492903775553675,"XLB-XLF spread is severe stretched at -2.03s, HL=3.8d, in a maturity regime, with strong Johansen pass (gap +2.55). Conviction: Low."
KRE-XLI,KRE,XLI,90,0.0191035754625289,0.6694134467235237,7.901883930376977,0.2552776303726187,1.7862514329322927,Low,HOLD,HOLD,β=0.669; HL=7.9; Z=0.26; p=0.0191; W=90,0.00454327816603476,True,Normal,0.6579718495251328,,6.548082891935781,15.4943,False,Maturity,Default regime,0.25385545980626856,Inside Band,-8.94621710806422,"KRE-XLI spread is inside its ±1s band, HL=7.9d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
QQQ-XLB,QQQ,XLB,180,0.08278842728868857,10.865060511150105,6.136431311585093,2.5445442346744294,1.7495132648085951,Low,HOLD,HOLD,β=10.865; HL=6.1; Z=2.54; p=0.0828; W=180,0.025162800585139745,True,Normal,8.73572998845933,,18.15137130161192,15.4943,True,Maturity,"Stick to standard entries, HL stable, clean mean reverts",2.5374662119660316,Severe,2.6570713016119196,"QQQ-XLB spread is severe stretched at +2.54s, HL=6.1d, in a maturity regime, with strong Johansen pass (gap +2.66). Conviction: Low."
DIA-SLV,DIA,SLV,90,0.09566563055766009,4.948466764025554,3.3006567208967894,-1.0499524697556735,1.725775469268649,Low,HOLD,HOLD,β=4.948; HL=3.3; Z=-1.05; p=0.0957; W=90,0.03091369985097495,True,Normal,3.872152321345787,,8.217031754297718,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-1.0441031068625222,Mild,-7.277268245702283,"DIA-SLV spread is mild stretched at -1.04s, HL=3.3d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
VIXY-XLY,VIXY,XLY,252,0.09009066002565963,-0.5243287695742049,7.6077276990834335,-0.33166299990997206,1.6706505588761131,Low,HOLD,HOLD,β=-0.524; HL=7.6; Z=-0.33; p=0.0901; W=252,0.027513774527858543,True,Low,1.7793638419271538,,11.385787423077108,15.4943,False,Maturity,Default regime,-0.3309990092541743,Inside Band,-4.108512576922893,"VIXY-XLY spread is inside its ±1s band, HL=7.6d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
KRE-SPY,KRE,SPY,90,0.0010684766387494935,0.11912355015217099,6.433187728309508,-0.8905325019282369,1.6674217339981525,Low,HOLD,HOLD,β=0.119; HL=6.4; Z=-0.89; p=0.0011; W=90,0.0001971459488668797,True,Normal,0.6577434563172243,,5.587517057235833,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.8855712794710562,Inside Band,-9.906782942764167,"KRE-SPY spread is inside its ±1s band, HL=6.4d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
SLV-XLU,SLV,XLU,252,0.032425962935889494,0.7927671065814919,6.505617102293604,2.004528980835416,1.6580262944692667,Low,HOLD,HOLD,β=0.793; HL=6.5; Z=2.00; p=0.0324; W=252,0.008232364195235362,True,Normal,0.7501837973012774,,14.769745217310492,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",2.000515905777566,Severe,-0.7245547826895091,"SLV-XLU spread is severe stretched at +2.00s, HL=6.5d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
XLF-XLY,XLF,XLY,180,0.025194936953185296,0.12542296288600996,7.19619835619282,0.032020048295699224,1.651071386643559,Low,HOLD,HOLD,β=0.125; HL=7.2; Z=0.03; p=0.0252; W=180,0.005892639376032292,True,Normal,0.3982641381099099,,14.010327479921779,15.4943,False,Maturity,Default regime,0.03193097983861659,Inside Band,-1.483972520078222,"XLF-XLY spread is inside its ±1s band, HL=7.2d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
XLV-XLY,XLV,XLY,90,0.09097472033150528,0.1830788972127902,3.2054895925964546,-0.32045720813620315,1.6077224481682584,Low,HOLD,HOLD,β=0.183; HL=3.2; Z=-0.32; p=0.0910; W=90,0.028898435737680854,True,Normal,1.1341938643309728,,12.189695061577847,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.31867191731960937,Inside Band,-3.3046049384221536,"XLV-XLY spread is inside its ±1s band, HL=3.2d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
XLE-XLF,XLE,XLF,90,0.020720543752356053,1.5121685589110054,3.666833244370039,1.4501968516359327,1.582833932803626,Low,HOLD,HOLD,β=1.512; HL=3.7; Z=1.45; p=0.0207; W=90,0.005032128325482543,True,Normal,1.0358647976019144,,10.010332488577326,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",1.4421176976779462,Mild,-5.483967511422675,"XLE-XLF spread is mild stretched at +1.44s, HL=3.7d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
DIA-XLY,DIA,XLY,180,0.04864583194210164,1.2061238750481533,7.251383636752818,0.37898505069200306,1.5560297145478645,Low,HOLD,HOLD,β=1.206; HL=7.3; Z=0.38; p=0.0486; W=180,0.01304462496603681,True,Low,2.4127243278989043,,13.658206079543667,15.4943,False,Maturity,Default regime,0.3779308482307577,Inside Band,-1.8360939204563334,"DIA-XLY spread is inside its ±1s band, HL=7.3d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
SPY-XLK,SPY,XLK,252,0.08190143362231511,1.5996840443637903,7.330822949358286,-0.0694979986355649,1.5484575696086142,Low,HOLD,HOLD,β=1.600; HL=7.3; Z=-0.07; p=0.0819; W=252,0.024514682479138763,True,Normal,2.5581028973440416,,12.32244293907373,15.4943,False,Maturity,Default regime,-0.06935886336360757,Inside Band,-3.1718570609262713,"SPY-XLK spread is inside its ±1s band, HL=7.3d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
DIA-XLK,DIA,XLK,252,0.08051526182639829,0.7531679877846624,8.901243551468712,-0.011027443286257592,1.5455989057321897,Low,HOLD,HOLD,β=0.753; HL=8.9; Z=-0.01; p=0.0805; W=252,0.02413877545030685,True,Low,2.8712899161752405,,12.648661081499059,15.4943,False,Reset,"Expect longer holding periods, reversion is slower",-0.011005366300578147,Inside Band,-2.845638918500942,"DIA-XLK spread is inside its ±1s band, HL=8.9d, in a reset regime, with weak Johansen evidence. Conviction: Low."
KRE-XLK,KRE,XLK,90,0.011544240557975014,0.19397287904439758,6.62310687018698,-0.7774318294781832,1.5400439603158866,Low,HOLD,HOLD,β=0.194; HL=6.6; Z=-0.78; p=0.0115; W=90,0.0026339198191298514,True,Normal,0.7762018336102977,,5.385817788935859,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.7731006992353422,Inside Band,-10.108482211064143,"KRE-XLK spread is inside its ±1s band, HL=6.6d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
QQQ-XLK,QQQ,XLK,180,0.05474117140429413,1.7760462418650167,5.711038856155965,-0.5741882964115641,1.4575787702551266,Low,HOLD,HOLD,β=1.776; HL=5.7; Z=-0.57; p=0.0547; W=180,0.015292692971162258,True,Normal,1.8013262474726255,,9.224095038646258,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.5725911075140335,Inside Band,-6.270204961353743,"QQQ-XLK spread is inside its ±1s band, HL=5.7d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
QQQ-SPY,QQQ,SPY,180,0.057697062549145084,1.114577774899295,5.958230477761716,-0.051388133182463894,1.4366377999018947,Low,HOLD,HOLD,β=1.115; HL=6.0; Z=-0.05; p=0.0577; W=180,0.016274573204088566,True,Normal,2.045760071567961,,14.615783990538517,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.051245189558748815,Inside Band,-0.8785160094614834,"QQQ-SPY spread is inside its ±1s band, HL=6.0d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
XLF-XLI,XLF,XLI,180,0.08903401338562178,0.21703705560794273,6.50005535474096,0.5151668158789319,1.4005943380232961,Low,HOLD,HOLD,β=0.217; HL=6.5; Z=0.52; p=0.0890; W=180,0.027497224368970157,True,Low,0.36723816497560446,,12.745192788077166,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",0.513733803879488,Inside Band,-2.7491072119228352,"XLF-XLI spread is inside its ±1s band, HL=6.5d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
QQQ-XLI,QQQ,XLI,180,0.07898853373378517,4.291889861764128,8.189791278121108,1.626664503357024,1.3253329006714047,Low,HOLD,HOLD,β=4.292; HL=8.2; Z=1.63; p=0.0790; W=180,0.02349580825565245,True,Normal,4.284346973292847,,10.487327601604507,15.4943,False,Reset,"Expect longer holding periods, reversion is slower",1.622139697642582,Mild,-5.006972398395494,"QQQ-XLI spread is mild stretched at +1.62s, HL=8.2d, in a reset regime, with weak Johansen evidence. Conviction: Low."
