Pair,Left,Right,BestWindow,PValue,Beta,HalfLife,Z,Conviction,ConvictionBand,Signal,Action,Notes,StationarityP,Stationary,VolRegime,SpreadVol,SuggestedNotional,JohansenTrace,JohansenCrit,JohansenPass,GrowthPhase,PhaseGuidance,SR_Deviation,SR_Signal_Strength,JohansenStrength,NL_Description
AVGO-QQQ,AVGO,QQQ,60,0.0029700833922338735,1.800682435646131,3.07661576873757,-0.8099118985164315,3.3060633977066733,Low,HOLD,HOLD,β=1.801; HL=3.1; Z=-0.81; p=0.0030; W=60,0.0005911064198475658,True,Normal,8.031249971384435,,8.32410293446636,15.4943,False,Deterioration,"Tight entries, faster exits, entropy high",-0.8031342739350515,Inside Band,-7.170197065533641,"AVGO-QQQ spread is inside its ±1s band, HL=3.1d, in a deterioration regime, with weak Johansen evidence. Conviction: Low."
AAPL-TXN,AAPL,TXN,30,0.00011144528544687087,-0.5841631699468466,9.994941715174779,2.3109448431328885,3.071191848903273,Low,HOLD,HOLD,β=-0.584; HL=10.0; Z=2.31; p=0.0001; W=30,5.255531062244285e-07,True,Normal,3.75821841997693,,,,False,Reset,"Expect longer holding periods, reversion is slower",2.272102667663239,Severe,,"AAPL-TXN spread is severe stretched at +2.27s, HL=10.0d, in a reset regime, with weak Johansen evidence. Conviction: Low."
COST-PEP,COST,PEP,252,0.06490720586693594,-2.691697720501118,8.183870398525421,-0.8067780111057662,2.5781176085013184,Low,HOLD,HOLD,β=-2.692; HL=8.2; Z=-0.81; p=0.0649; W=252,0.018622748489798002,True,Low,15.131521843159758,,15.535619219187238,15.4943,True,Reset,"Expect longer holding periods, reversion is slower",-0.8051756698793534,Inside Band,0.04131921918723691,"COST-PEP spread is inside its ±1s band, HL=8.2d, in a reset regime, with strong Johansen pass (gap +0.04). Conviction: Low."
QCOM-TSLA,QCOM,TSLA,90,0.012320137603986214,0.10678871840285795,7.047009161572634,0.9442930766175486,2.509438823845251,Low,HOLD,HOLD,β=0.107; HL=7.0; Z=0.94; p=0.0123; W=90,0.002688161344259514,True,Low,2.345595854296765,,6.222825462944251,15.4943,False,Maturity,Default regime,0.939032350021123,Inside Band,-9.271474537055749,"QCOM-TSLA spread is inside its ±1s band, HL=7.0d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
CSCO-NVDA,CSCO,NVDA,180,0.011430336536136612,0.15150207808923508,5.966127009245571,-0.527921513126047,2.488000558011391,Low,HOLD,HOLD,β=0.152; HL=6.0; Z=-0.53; p=0.0114; W=180,0.0023884420618492993,True,Normal,0.786633850882175,,12.302454231877531,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.5264530220669257,Inside Band,-3.1918457681224695,"CSCO-NVDA spread is inside its ±1s band, HL=6.0d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
QCOM-TXN,QCOM,TXN,30,0.03192036061423081,-0.36523401015722423,3.2068274832452066,1.5078800101279437,2.3403407878488505,Low,HOLD,HOLD,β=-0.365; HL=3.2; Z=1.51; p=0.0319; W=30,0.256514335533497,False,Normal,2.4404739129170836,,,,False,Deterioration,"Tight entries, faster exits, entropy high",1.4825356839253478,Mild,,"QCOM-TXN spread is mild stretched at +1.48s, HL=3.2d, in a deterioration regime, with weak Johansen evidence. Conviction: Low."
ADBE-PEP,ADBE,PEP,90,0.016262497748257228,-2.669412295810387,3.1040324120090976,-0.8819118035908661,2.2945526982195754,Low,HOLD,HOLD,β=-2.669; HL=3.1; Z=-0.88; p=0.0163; W=90,0.0036544911290579698,True,Low,8.94883820490925,,12.811419111639868,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.8769986076819531,Inside Band,-2.682880888360133,"ADBE-PEP spread is inside its ±1s band, HL=3.1d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
NVDA-SPY,NVDA,SPY,252,0.08576238189635099,0.6299482780768078,8.890956026100584,-0.5113247553088419,2.2816043470598344,Low,HOLD,HOLD,β=0.630; HL=8.9; Z=-0.51; p=0.0858; W=252,0.026076519124424543,True,Normal,3.351480755652217,,12.005670852579717,15.4943,False,Reset,"Expect longer holding periods, reversion is slower",-0.5103092135808346,Inside Band,-3.4886291474202835,"NVDA-SPY spread is inside its ±1s band, HL=8.9d, in a reset regime, with weak Johansen evidence. Conviction: Low."
AVGO-SPY,AVGO,SPY,90,0.06036391096329759,1.393867833868209,3.1361728953088557,0.1665301082426847,2.2770643011239033,Low,HOLD,HOLD,β=1.394; HL=3.1; Z=0.17; p=0.0604; W=90,0.01778046145299788,True,Normal,7.427071422609504,,8.120393137594583,15.4943,False,Deterioration,"Tight entries, faster exits, entropy high",0.16560235668839393,Inside Band,-7.373906862405418,"AVGO-SPY spread is inside its ±1s band, HL=3.1d, in a deterioration regime, with weak Johansen evidence. Conviction: Low."
QQQ-SPY,QQQ,SPY,180,0.06769123250159972,1.1148588641760138,6.063032642376837,0.13873668112261173,2.1748671550646437,Low,HOLD,HOLD,β=1.115; HL=6.1; Z=0.14; p=0.0677; W=180,0.019714481551253996,True,Normal,2.042911905956704,,14.638767377241036,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",0.13835076471129834,Inside Band,-0.8555326227589646,"QQQ-SPY spread is inside its ±1s band, HL=6.1d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
